tensor_slicing_512x64x64x8_1x1x1x16,inplace,0,20105064,8895385,1186003,81208,1198806,69319,1835660,0,,369098752
tensor_slicing_512x64x64x8_1x1x1x16,0,dtu,8313545,9649512,197605,76662,198457,66081,745344,1048656,,369098752
tensor_slicing_512x64x64x8_1x1x1x32,cpu,10778970,13648590,7988321,658374,76144,666133,67471,1267528,0,,167772160
tensor_slicing_512x64x64x8_1x1x1x32,inplace,0,11944150,4676636,592168,43034,596730,34300,936432,0,,167772160
tensor_slicing_512x64x64x8_1x1x1x32,0,dtu,4003683,4924128,97823,42345,99246,33206,403805,524336,,167772160
tensor_slicing_512x64x64x8_1x1x1x64,cpu,5470885,6969505,4311513,329592,43582,334193,33934,678250,0,,67108864
tensor_slicing_512x64x64x8_1x1x1x64,inplace,0,5985872,2572692,294959,21269,299228,17338,465120,0,,67108864
tensor_slicing_512x64x64x8_1x1x1x64,0,dtu,1891118,2564832,46831,23371,49602,16825,217404,262192,,67108864
tensor_slicing_512x64x64x8_1x1x1x4,cpu,24546648,50865078,59437990,2125265,535546,2154991,557565,6409642,0,,1577058304
tensor_slicing_512x64x64x8_1x1x1x4,inplace,0,54681164,52012141,1629109,292447,2142846,581422,3968668,16,,1577058304
tensor_slicing_512x64x64x8_1x1x1x4,0,dtu,33721827,38008608,806773,273185,794044,263335,2730093,4194416,,1577058304
tensor_slicing_512x64x64x8_1x1x1x8,cpu,20745402,32405840,30042377,1580416,273421,1586746,264536,3767786,0,,771751936
tensor_slicing_512x64x64x8_1x1x1x8,inplace,0,22937041,17274651,1317015,146190,1323331,133790,2486519,0,,771751936
tensor_slicing_512x64x64x8_1x1x1x8,0,dtu,15453378,19100280,395369,142105,396945,131802,1401133,2097216,,771751936
tensor_slicing_512x64x64x8_1x1x1x16,cpu,18540838,24459434,15350332,1317036,142202,1321109,133462,2454653,0,,369098752
tensor_slicing_512x64x64x8_1x1x1x16,inplace,0,19971930,8884524,1185222,80910,1191983,68196,1832484,0,,369098752
tensor_slicing_512x64x64x8_1x1x1x16,0,dtu,7791381,9649512,197632,76403,207683,68862,743308,1048640,,369098752
tensor_slicing_512x64x64x8_1x1x1x32,cpu,10782286,13688260,7995113,658724,76279,666479,67593,1268949,0,,167772160
tensor_slicing_512x64x64x8_1x1x1x32,inplace,0,11805455,4684686,592758,43127,597658,34535,937766,0,,167772160
tensor_slicing_512x64x64x8_1x1x1x32,0,dtu,4194990,4924128,99283,43414,100169,34176,413815,524352,,167772160
tensor_slicing_512x64x64x8_1x1x1x64,cpu,5451948,6861680,4304721,327950,43858,331612,33545,678808,0,,67108864
tensor_slicing_512x64x64x8_1x1x1x64,inplace,0,6089386,2565900,295408,21209,301890,18322,465073,0,,67108864
tensor_slicing_512x64x64x8_1x1x1x64,0,dtu,1955529,2564832,48393,22075,49670,16714,208588,262208,,67108864
tensor_slicing_512x64x64x8_1x1x1x4,cpu,24524780,53464056,59443257,2124660,535490,2147947,527719,6408571,16,,1577058304
tensor_slicing_512x64x64x8_1x1x1x4,inplace,0,54736116,52013606,1629413,292287,2145223,582964,3967702,0,,1577058304
tensor_slicing_512x64x64x8_1x1x1x4,0,dtu,31228888,38003258,790978,273075,793729,263214,2713430,4194368,,1577058304
tensor_slicing_512x64x64x8_1x1x1x8,cpu,20720414,32672368,30044368,1580632,273553,1586730,264494,3769060,0,,771751936
tensor_slicing_512x64x64x8_1x1x1x8,inplace,0,23100735,17279924,1317288,146345,1323410,133828,2488031,0,,771751936
tensor_slicing_512x64x64x8_1x1x1x8,0,dtu,16277507,19100280,395251,142088,396915,131827,1400885,2097200,,771751936
tensor_slicing_512x64x64x8_1x1x1x16,cpu,18555285,24349083,15348729,1317113,142520,1320969,133448,2457288,0,,369098752
tensor_slicing_512x64x64x8_1x1x1x16,inplace,0,20209229,8884524,1185434,81159,1192379,68320,1834699,0,,369098752
tensor_slicing_512x64x64x8_1x1x1x16,0,dtu,7671469,9650959,197744,76370,198476,66094,743157,1048640,,369098752
tensor_slicing_512x64x64x8_1x1x1x32,cpu,10781063,13726066,7988321,658385,76209,666146,67450,1268069,0,,167772160
tensor_slicing_512x64x64x8_1x1x1x32,inplace,0,11773477,4676636,592278,43088,597198,34348,936966,0,,167772160
tensor_slicing_512x64x64x8_1x1x1x32,0,dtu,4007779,4924128,97848,42669,99232,33234,406429,524336,,167772160
tensor_slicing_512x64x64x8_1x1x1x64,cpu,5446507,6891053,4304721,327891,43801,331623,33612,678302,0,,67108864
tensor_slicing_512x64x64x8_1x1x1x64,inplace,0,5952311,2572692,294745,20917,301434,18092,462075,0,,67108864
tensor_slicing_512x64x64x8_1x1x1x64,0,dtu,1964843,2564832,48416,22474,49670,16747,211806,262160,,67108864
tensor_slicing_512x64x64x8_1x1x1x4,cpu,24546381,53516319,59436465,2124578,535457,2149603,527654,6408243,16,,1577058304
tensor_slicing_512x64x64x8_1x1x1x4,inplace,0,54818007,52012672,1629073,291832,2144400,582834,3963712,0,,1577058304
