img_augmentation_128_8,cpu,841116685,852333323,822151877,748281,354402,2289288,416209,3583497,16,,0
img_augmentation_128_8,dtu,0,19433426,17463441,355467,175311,376668,185433,1585876,2753056,,0
img_augmentation_128_16,cpu,1611517553,1638636585,1647168097,1533261,701481,4629987,870601,7145101,0,,0
img_augmentation_128_16,dtu,0,37472675,34035104,709172,345766,723687,358034,3131179,5505584,,0
img_augmentation_128_32,cpu,3297150088,3397135563,3345338021,4153098,1425569,10110464,2144781,15557636,256,,0
img_augmentation_128_32,dtu,0,71666531,67113266,1388459,690071,1418103,703254,6220855,11010608,,0
img_augmentation_128_64,cpu,6829477820,7033986867,6737868006,8134669,2874276,21645630,5138883,31128856,192,,0
img_augmentation_128_64,dtu,0,246155577,227021198,2924120,1426719,4316163,2308087,12961495,22021904,,0
img_augmentation_256_4,cpu,1628886245,1656014357,1646851269,1825278,703203,5062312,878981,7450888,64,,0
img_augmentation_256_4,dtu,0,38667572,34013100,708965,345278,723593,357891,3127064,5505424,,0
img_augmentation_256_8,cpu,3296230545,3396346103,3344633918,5211965,1428695,10812331,2111457,16641500,240,,0
img_augmentation_256_8,dtu,0,73718157,67097498,1388973,690525,1417412,703031,6225003,11010592,,0
img_augmentation_256_16,cpu,6654009387,6858412249,6736051184,10678266,2887300,22823886,4969531,33776618,464,,0
img_augmentation_256_16,dtu,0,249242259,227024891,2924532,1426421,4257403,2259765,12959503,22021904,,0
img_augmentation_256_32,cpu,13576522605,13991186012,13527061990,20770794,5803782,47610587,11223818,67200997,784,,0
img_augmentation_256_32,dtu,0,495017152,453671507,5835937,2852498,8501608,4523863,25903265,44042496,,0
img_augmentation_256_64,cpu,26720205312,27569978201,27056348746,31770389,11885830,95245130,22724989,126856988,592,,0
img_augmentation_256_64,dtu,0,1006212865,909683586,11668423,5706228,17375630,9436242,51812614,88089712,,0
img_augmentation_128_4,cpu,406509926,411786329,411075678,347655,179483,1139347,205823,1783503,0,,0
img_augmentation_128_4,dtu,0,10446479,9187193,177514,89124,202804,98929,804458,1376736,,0
img_augmentation_128_8,cpu,824076262,835432970,822120020,746204,353506,2291348,417112,3574252,0,,0
img_augmentation_128_8,dtu,0,19495000,17467238,354928,174775,376652,185570,1581056,2753008,,0
img_augmentation_128_16,cpu,1701410579,1728458331,1647303850,1539192,701295,4683751,873700,7149541,48,,0
img_augmentation_128_16,dtu,0,37349870,34001341,708814,345227,723086,357735,3126528,5505552,,0
img_augmentation_128_32,cpu,3326752945,3427345955,3345392303,4149537,1425745,10142446,2148498,15555488,128,,0
img_augmentation_128_32,dtu,0,71584992,67133760,1389680,690573,1418675,703532,6226102,11010592,,0
img_augmentation_128_64,cpu,6829788530,7034149368,6737879772,8134733,2874380,21643116,5148263,31129755,176,,0
img_augmentation_128_64,dtu,0,246048054,227039287,2933216,1430784,4318259,2308976,13002656,22029280,,0
img_augmentation_256_4,cpu,1633057339,1660190677,1646822031,1824585,703033,5054668,880038,7448832,16,,0
img_augmentation_256_4,dtu,0,38664974,34009098,708578,345311,723356,357737,3126965,5505536,,0
img_augmentation_256_8,cpu,3295524511,3395385326,3344657515,5222715,1429097,10800295,2117484,16655460,336,,0
img_augmentation_256_8,dtu,0,74491190,67111497,1389114,690208,1418278,703370,6222587,11010464,,0
img_augmentation_256_16,cpu,6822352391,7026374868,6736346962,10680183,2887996,22839221,4965261,33784121,512,,0
img_augmentation_256_16,dtu,0,249781063,227018952,2938142,1435546,4283449,2280370,13045102,22038544,,0
img_augmentation_256_32,cpu,13374523360,13788626920,13526693291,20782473,5804231,47581011,11218783,67216259,608,,0
img_augmentation_256_32,dtu,0,497496996,453652999,5863870,2871355,8579977,4572060,26080313,44070160,,0
img_augmentation_256_64,cpu,26723814940,27574196167,27056373744,31777299,11885260,95445450,22860296,126859352,608,,0
img_augmentation_256_64,dtu,0,1006578635,909709816,11677979,5706375,17313735,9424829,51823321,88090160,,0
img_augmentation_128_4,cpu,412255621,417566459,411089918,345333,179557,1138501,205855,1781798,0,,0
img_augmentation_128_4,dtu,0,10565328,9190847,178301,88640,203077,99127,801379,1376704,,0
img_augmentation_128_8,cpu,827528841,838909247,822114054,745991,354450,2292414,421250,3581580,16,,0
img_augmentation_128_8,dtu,0,19497087,17478790,354287,175266,377167,185622,1584312,2753088,,0
img_augmentation_128_16,cpu,1612979180,1640102932,1647135247,1531691,701191,4630723,871827,7141218,16,,0
img_augmentation_128_16,dtu,0,37484864,34028206,708893,345483,724371,358259,3128662,5505520,,0
img_augmentation_128_32,cpu,3296752753,3397326110,3345326549,4155261,1425812,10118977,2148006,15561753,112,,0
img_augmentation_128_32,dtu,0,71529342,67112756,1389849,690510,1417935,703115,6225733,11010544,,0
img_augmentation_128_64,cpu,6827305003,7031562796,6737882534,8150823,2874752,21584825,5142945,31148798,128,,0
img_augmentation_128_64,dtu,0,245277207,226989675,2925555,1426180,4285515,2295629,12958611,22021952,,0
img_augmentation_256_4,cpu,1625264331,1652335193,1646824841,1820454,702882,5052387,878774,7443500,0,,0
img_augmentation_256_4,dtu,0,38731790,34035578,708807,345519,724100,358063,3128860,5505584,,0
img_augmentation_256_8,cpu,3293083020,3393748792,3344635234,5215329,1428812,10824940,2122007,16645785,208,,0
img_augmentation_256_8,dtu,0,73739402,67108854,1389356,690433,1417742,703158,6224646,11010528,,0
img_augmentation_256_16,cpu,6653513974,6857735274,6736006886,10691728,2888762,22775098,4966217,33801796,432,,0
img_augmentation_256_16,dtu,0,249736590,226988564,2927513,1426168,4262567,2264414,12960469,22022224,,0
img_augmentation_256_32,cpu,13580642279,13996059723,13527063784,20779975,5802800,47606705,11193548,67202324,512,,0
img_augmentation_256_32,dtu,0,495216982,453671389,5838110,2852849,8506147,4529533,25908209,44042640,,0
img_augmentation_256_64,cpu,26724831374,27574673984,27056371325,31794780,11885312,95368489,22754462,126877244,512,,0
img_augmentation_256_64,dtu,0,1007989768,909691639,11669888,5706732,17308387,9427948,51818064,88090976,,0
