benchmark,type,transform_cost,cycle,instret,LLCAccessCount,LLCMissCount,hash
tensor_slicing_512x64x64x8_1x1x1x32,inplace,0,11894524,4676625,630940,592253,167772160
tensor_slicing_512x64x64x8_1x1x1x32,dtu,0,4169269,4924117,137585,97882,167772160
tensor_slicing_512x64x64x8_1x1x1x64,cpu,5456377,6875652,4311502,365986,328098,67108864
tensor_slicing_512x64x64x8_1x1x1x64,inplace,0,5930541,2572681,317777,294913,67108864
tensor_slicing_512x64x64x8_1x1x1x64,dtu,0,2057516,2558029,69593,46293,67108864
tensor_slicing_512x64x64x8_1x1x1x4,cpu,24499825,48670945,59438817,2686258,2106760,1577058304
tensor_slicing_512x64x64x8_1x1x1x4,inplace,0,54668735,52013740,2718893,1626658,1577058304
tensor_slicing_512x64x64x8_1x1x1x4,dtu,0,52111017,55953877,1756117,824054,1577058304
tensor_slicing_512x64x64x8_1x1x1x8,cpu,20639392,32891381,30043811,1890246,1579272,771751936
tensor_slicing_512x64x64x8_1x1x1x8,inplace,0,23756836,17279913,1456981,1316023,771751936
tensor_slicing_512x64x64x8_1x1x1x8,dtu,0,15907477,19100269,528714,395272,771751936
tensor_slicing_512x64x64x8_1x1x1x16,cpu,18496596,24399342,15348718,1453725,1320086,369098752
tensor_slicing_512x64x64x8_1x1x1x16,inplace,0,20124962,8884513,1260315,1184301,369098752
tensor_slicing_512x64x64x8_1x1x1x16,dtu,0,8141582,9649501,279631,197574,369098752
tensor_slicing_512x64x64x8_1x1x1x32,cpu,10769812,13618526,7995102,732266,658699,167772160
tensor_slicing_512x64x64x8_1x1x1x32,inplace,0,11853713,4676625,630229,592188,167772160
tensor_slicing_512x64x64x8_1x1x1x32,dtu,0,4005756,4924117,132404,97884,167772160
tensor_slicing_512x64x64x8_1x1x1x64,cpu,5428805,7177113,4311502,369448,329339,67108864
tensor_slicing_512x64x64x8_1x1x1x64,inplace,0,5942569,2565889,316437,294619,67108864
tensor_slicing_512x64x64x8_1x1x1x64,dtu,0,2049122,2558029,70184,46236,67108864
tensor_slicing_512x64x64x8_1x1x1x4,cpu,24473267,46970505,59422870,2646239,2105731,1577058304
tensor_slicing_512x64x64x8_1x1x1x4,inplace,0,54401996,52005728,2713257,1626415,1577058304
tensor_slicing_512x64x64x8_1x1x1x4,dtu,0,51050350,55945325,1722067,823195,1577058304
tensor_slicing_512x64x64x8_1x1x1x8,cpu,20614989,32776039,30042366,1892508,1579124,771751936
tensor_slicing_512x64x64x8_1x1x1x8,inplace,0,23450089,17279913,1456900,1315840,771751936
tensor_slicing_512x64x64x8_1x1x1x8,dtu,0,15039580,19101789,529595,395469,771751936
tensor_slicing_512x64x64x8_1x1x1x16,cpu,18482589,24840312,15348718,1464356,1319931,369098752
tensor_slicing_512x64x64x8_1x1x1x16,inplace,0,20420527,8886486,1257985,1184325,369098752
tensor_slicing_512x64x64x8_1x1x1x16,dtu,0,7830650,9649501,264542,197536,369098752
tensor_slicing_512x64x64x8_1x1x1x32,cpu,10766437,13802178,7988310,735793,658308,167772160
tensor_slicing_512x64x64x8_1x1x1x32,inplace,0,11846990,4678069,630578,592283,167772160
tensor_slicing_512x64x64x8_1x1x1x32,dtu,0,3742640,4924117,132406,97753,167772160
tensor_slicing_512x64x64x8_1x1x1x64,cpu,5453057,6943757,4311502,367711,328180,67108864
tensor_slicing_512x64x64x8_1x1x1x64,inplace,0,5953081,2572681,316701,294894,67108864
tensor_slicing_512x64x64x8_1x1x1x64,dtu,0,2311786,2564821,70932,47900,67108864
tensor_slicing_512x64x64x8_1x1x1x4,cpu,24486244,47439752,59431662,2645102,2106245,1577058304
tensor_slicing_512x64x64x8_1x1x1x4,inplace,0,54504902,52014260,2710480,1627160,1577058304
tensor_slicing_512x64x64x8_1x1x1x4,dtu,0,32009253,38001805,1057473,798669,1577058304
tensor_slicing_512x64x64x8_1x1x1x8,cpu,20602475,33344328,30042366,1881937,1587728,771751936
tensor_slicing_512x64x64x8_1x1x1x8,inplace,0,24052289,17281437,1456920,1316073,771751936
tensor_slicing_512x64x64x8_1x1x1x8,dtu,0,14934595,19093477,528352,395004,771751936
tensor_slicing_512x64x64x8_1x1x1x16,cpu,18476915,24667758,15350246,1455502,1316002,369098752
tensor_slicing_512x64x64x8_1x1x1x16,inplace,0,20445801,8884513,1265389,1184093,369098752
tensor_slicing_512x64x64x8_1x1x1x16,dtu,0,7837864,9649501,264656,197545,369098752
tensor_slicing_512x64x64x8_1x1x1x32,cpu,10809113,14105013,8003540,736723,661504,167772160
tensor_slicing_512x64x64x8_1x1x1x32,inplace,0,12022248,4676625,636996,592241,167772160
tensor_slicing_512x64x64x8_1x1x1x32,dtu,0,3741661,4924117,132411,97783,167772160
tensor_slicing_512x64x64x8_1x1x1x64,cpu,5434338,6893636,4304710,365081,327653,67108864
tensor_slicing_512x64x64x8_1x1x1x64,inplace,0,5910622,2565889,316234,294451,67108864
tensor_slicing_512x64x64x8_1x1x1x64,dtu,0,2109046,2564821,68926,46755,67108864
tensor_slicing_512x64x64x8_1x1x1x4,cpu,24483110,50830689,59438007,2710460,2124066,1577058304
tensor_slicing_512x64x64x8_1x1x1x4,inplace,0,54341436,52014237,2704603,1627317,1577058304
tensor_slicing_512x64x64x8_1x1x1x4,dtu,0,51257188,55956632,1676707,823696,1577058304
