benchmark,type,transform_cost,cycle,instret,LLCRefill,LLCWB,L1Refill,L1WB,RegularDRAMAccess,DTUDramAccess,hash
dbcolproj_83690_8_64,cpu,0,10811904,10162947,398914,52535,477365,98886,819177,0,1371400385
dbcolproj_83690_8_64,col,0,12127208,10820645,89696,33291,133248,69675,356028,0,1371400385
dbcolproj_83690_8_64,dtu,0,7189410,4522257,87941,41320,128080,65974,376645,669584,1371400385
dbcolproj_83690_1_64,cpu,0,1913014,1422763,89633,6282,90688,5316,139890,0,171348942
dbcolproj_83690_1_64,col,0,661727,1513245,11186,4080,10781,5123,43834,0,171348942
dbcolproj_83690_1_64,dtu,0,501388,209271,10502,4958,10530,5292,44932,83744,171348942
dbcolproj_83690_2_64,cpu,0,3809280,2266455,279887,19397,179488,10950,435055,0,343055996
dbcolproj_83690_2_64,col,0,1068897,2427043,21663,3775,21223,10247,51870,0,343055996
dbcolproj_83690_2_64,dtu,0,1002095,425288,21112,9715,21300,10627,88394,167424,343084814
dbcolproj_83690_3_64,cpu,0,4003070,3103355,296854,24276,185519,16217,491063,0,514196633
dbcolproj_83690_3_64,col,0,1810373,3347633,32457,7631,31935,15494,93514,0,514196633
dbcolproj_83690_3_64,dtu,0,1477140,627721,31480,14560,31563,15752,132266,251120,514196633
dbcolproj_83690_4_64,cpu,0,5124007,3947047,341760,29237,274277,21652,575653,0,685765807
dbcolproj_83690_4_64,col,0,2811704,4268223,42423,11938,42664,20751,137926,0,685765807
dbcolproj_83690_4_64,dtu,0,2025555,836946,41961,19366,42063,20994,175938,334800,685794746
dbcolproj_83690_5_64,cpu,0,5359497,4777155,354104,33972,280121,26875,625873,0,857656862
dbcolproj_83690_5_64,col,0,3928960,5195605,53248,16274,53606,26113,183464,0,857656862
dbcolproj_83690_5_64,dtu,0,2549279,1052963,52655,24371,52818,26351,221469,418480,857679744
dbcolproj_83690_6_64,cpu,0,6329123,5620847,376880,39393,369739,32440,692016,0,1028292886
dbcolproj_83690_6_64,col,0,5130025,6116195,63585,20840,64379,31362,230321,0,1028292886
dbcolproj_83690_6_64,dtu,0,3061530,1262188,63265,29197,63344,31512,265456,502192,1028315236
dbcolproj_83690_7_64,cpu,0,6606554,6457747,383380,44332,375752,37632,738037,0,1199800837
dbcolproj_83690_7_64,col,0,10049477,9535813,78319,27602,117323,59783,299150,0,1199800837
dbcolproj_83690_7_64,dtu,0,6290268,3965901,77043,36083,106993,52481,329083,585872,1199821823
dbcolproj_83690_8_64,cpu,0,10775860,10137998,398223,52390,478718,98099,817311,0,1371400385
dbcolproj_83690_8_64,col,0,12416375,10820597,89457,33326,132136,67217,356066,0,1371400385
dbcolproj_83690_8_64,dtu,0,7194513,4547259,88518,41316,122640,60723,377189,669600,1371400385
dbcolproj_83690_1_64,cpu,0,1864946,1429555,89865,6438,90220,5434,141377,0,171348942
dbcolproj_83690_1_64,col,0,633262,1506453,10867,3917,10552,5007,42210,0,171348942
dbcolproj_83690_1_64,dtu,0,501559,209271,10504,4952,10525,5311,44879,83743,171348942
dbcolproj_83690_2_64,cpu,0,3793862,2266455,279638,19187,179499,10947,433123,0,343055996
dbcolproj_83690_2_64,col,0,1062666,2427043,21666,3782,21267,10265,51932,0,343055996
dbcolproj_83690_2_64,dtu,0,989814,418496,20980,9614,21060,10496,87447,167424,343055996
dbcolproj_83690_3_64,cpu,0,3970931,3103355,297442,24216,184832,16184,491134,0,514196633
dbcolproj_83690_3_64,col,0,1801547,3347633,32471,7617,31844,15515,93414,0,514196633
dbcolproj_83690_3_64,dtu,0,1484067,634513,31687,14341,31805,15823,130702,251120,514196633
dbcolproj_83690_4_64,cpu,0,5138054,3940255,340993,29230,274794,21645,574817,0,685765807
dbcolproj_83690_4_64,col,0,2837940,4275015,42835,12088,42896,20868,139563,0,685765807
dbcolproj_83690_4_64,dtu,0,1992196,843738,42202,19827,42308,21113,179876,334820,685765807
dbcolproj_83690_5_64,cpu,0,5381470,4777155,353926,34196,280192,26893,627486,0,857656862
dbcolproj_83690_5_64,col,0,3926318,5195605,53162,16482,53673,26193,185041,0,857656862
dbcolproj_83690_5_64,dtu,0,2487680,1052963,52781,24734,52825,26328,224506,418512,857656862
dbcolproj_83690_6_64,cpu,0,6315057,5614055,376814,39245,370168,32327,690767,0,1028292886
dbcolproj_83690_6_64,col,0,5158663,6117750,63571,20843,64466,31385,230317,0,1028292886
dbcolproj_83690_6_64,dtu,0,2973287,1262188,63164,29462,63346,31587,267469,502160,1028315236
dbcolproj_83690_7_64,cpu,0,6586997,6457747,382789,44348,374931,37637,737565,0,1199800837
dbcolproj_83690_7_64,col,0,9950048,9544416,78872,27781,115092,59550,301136,0,1199800837
dbcolproj_83690_7_64,dtu,0,6410375,3970446,77470,36071,121608,65338,329430,585984,1199800837
dbcolproj_83690_8_64,cpu,0,10813659,10146887,398771,52609,478466,99791,819632,0,1371400385
dbcolproj_83690_8_64,col,0,12107940,10839428,89410,33288,132832,68957,355739,0,1371400385
dbcolproj_83690_8_64,dtu,0,7144413,4518369,88255,40987,118473,57866,374288,669680,1371400385
dbcolproj_83690_1_64,cpu,0,1915940,1422763,89639,6327,90711,5314,140253,0,171348942
dbcolproj_83690_1_64,col,0,655557,1513245,11182,4121,10768,5111,44150,0,171348942
dbcolproj_83690_1_64,dtu,0,502435,209271,10507,5102,10534,5312,46087,83744,171382184
dbcolproj_83690_2_64,cpu,0,3799452,2266455,278291,19301,179544,10950,432698,0,343055996
dbcolproj_83690_2_64,col,0,1091618,2427043,21673,3806,21260,10275,52122,0,343055996
dbcolproj_83690_2_64,dtu,0,1000529,425288,21047,9686,21269,10590,88071,167440,343055996
dbcolproj_83690_3_64,cpu,0,3996328,3103355,296807,24205,185528,16224,490431,0,514196633
dbcolproj_83690_3_64,col,0,1867048,3363961,33412,8111,32390,15711,98317,0,514196633
dbcolproj_83690_3_64,dtu,0,1475110,627721,31474,14395,31569,15706,130933,251104,514224886
dbcolproj_83690_4_64,cpu,0,5167964,3957908,342279,29368,274532,21821,577216,0,685765807
dbcolproj_83690_4_64,col,0,2869939,4275015,42829,12173,42928,20898,140223,0,685765807
dbcolproj_83690_4_64,dtu,0,1995590,836946,41960,19561,42582,20995,177503,334848,685794746
